bref_id,PLAYER_ID,stats_player_id,espn_id,PLAYER_NAME,Team,team_g,stats_team_id
gordoaa01,203932,748788,3064290,Aaron Gordon,DEN,33,7
henryaa01,1630565,1133812,4397209,Aaron Henry,PHI,34,20
holidaa01,1628988,884087,3922230,Aaron Holiday,WAS,34,27
nesmiaa01,1630174,1134264,4396909,Aaron Nesmith,BOS,34,2
wiggiaa01,1630598,1133788,4397183,Aaron Wiggins,OKC,33,25
naderab01,1627846,610597,2595435,Abdel Nader,PHO,33,21
murkead01,1630278,957208,4067603,Ade Murkey,SAC,35,23
schofad01,1629678,887494,3918423,Admiral Schofield,ORL,35,19
horfoal01,201143,280587,3213,Al Horford,BOS,34,2
burksal01,202692,512995,6429,Alec Burks,NYK,34,18
fordal03,1630758,945134,4066414,Aleem Ford,ORL,35,19
pokusal01,1630197,1257423,4683018,Aleksej Pokusevski,OKC,33,25
carusal01,1627936,697644,2991350,Alex Caruso,CHI,31,4
lenal01,203458,616982,2596107,Alex Len,SAC,35,23
mckinal01,1628035,567423,2530923,Alfonzo McKinnie,CHI,31,4
johnsal02,1628993,953283,4067045,Alize Johnson,CHI/WAS,34,27
sengual01,1630578,1323508,4871144,Alperen Sengun,HOU,35,10
coffeam01,1629599,944822,4066387,Amir Coffey,LAC,34,12
drumman01,203083,614746,6585,Andre Drummond,PHI,34,20
iguodan01,2738,173004,2386,Andre Iguodala,GSW,34,9
wiggian01,203952,794503,3059319,Andrew Wiggins,GSW,34,9
simonan01,1629014,1121307,4351851,Anfernee Simons,POR,33,22
davisan02,203076,603096,6583,Anthony Davis,LAL,35,13
edwaran01,1630162,1175367,4594268,Anthony Edwards,MIN,34,16
gillan01,1630264,604290,2581184,Anthony Gill,WAS,34,27
brookar01,1629717,922387,4066450,Armoni Brooks,HOU,35,10
kulboar01,1629083,1121345,4230551,Arnoldas Kulboka,CHO,35,5312
reaveau01,1630559,953291,4066457,Austin Reaves,LAL,35,13
riverau01,203085,601139,6617,Austin Rivers,DEN,33,7
bradlav01,202340,513607,4240,Avery Bradley,LAL,35,13
dosunay01,1630245,1133782,4397002,Ayo Dosunmu,CHI,31,4
johnsbj01,1629168,786385,3059280,BJ Johnson,ORL,35,19
adebaba01,1628389,957486,4066261,Bam Adebayo,MIA,35,14
mclembe01,203463,604898,2578213,Ben McLemore,POR,33,22
griffbl01,201933,399725,3989,Blake Griffin,BRK,32,17
marjabo01,1626246,553331,4376,Boban Marjanovic,DAL,33,6
portibo01,1626171,750703,3064482,Bobby Portis,MIL,36,15
bogdabo01,203992,830648,3037789,Bogdan Bogdanovic,ATL,33,1
bogdabo02,202711,599812,3593,Bojan Bogdanovic,UTA,33,26
bolbo01,1629626,1134730,4397102,Bol Bol,DEN,33,7
hylanbo01,1630538,1178199,4592492,Bones Hyland,DEN,33,7
wanambr01,202954,402376,6507,Brad Wanamaker,IND,34,NA
bealbr01,203078,606912,6580,Bradley Beal,WAS,34,27
bostobr01,1630527,1245906,4432162,Brandon Boston Jr.,LAC,34,12
clarkbr01,1629634,892914,3906665,Brandon Clarke,MEM,35,29
ingrabr01,1627742,887665,3913176,Brandon Ingram,NOP,35,3
knighbr03,202688,553575,6448,Brandon Knight,DAL,33,6
willibr03,1630314,1134688,4397040,Brandon Williams,POR,33,22
thomabr01,1630271,1152470,4407254,Brodric Thomas,BOS,34,2
lopezbr01,201572,330047,3448,Brook Lopez,MIL,36,15
brownbr01,1628971,941834,4065670,Bruce Brown,BRK,32,17
fernabr01,1628981,1076674,4277952,Bruno Fernando,BOS,34,2
forbebr01,1627854,699093,2994526,Bryn Forbes,SAS,33,24
