ottoneu_player_id,name,nba_player_id,stats_player_id,hashtag_id,ottoneu_position
12900,Jaron Pierre Jr.,1643555,,,G
22766,Alex Karaban,1642284,,120393,F
23362,Joshua Jefferson,1643538,,120392,F
23562,Dillon Mitchell,1641759,,,F
24065,Braden Smith,1643552,,,G
24131,Henri Veesaar,1643539,,,C
24187,Zuby Ejiofor,1643544,,120394,F/C
24540,Ugonna Onyenso,1642391,,,C
25733,Aday Mara,1643530,,120378,C
25884,Yaxel Lendeborg,1642865,,120377,F
26510,Cameron Carr,1643418,,120387,G
26981,Dailyn Swain,1643517,,120388,F
27545,Karim Lopez,1643510,,120395,F
29629,Christian Anderson Jr.,1643515,,120382,G
29662,Jayden Quaintance,1643519,,120383,F/C
29715,Labaron Philon Jr.,1642889,,120380,G
30163,Isaiah Evans,1642912,,120384,G
30823,Morez Johnson Jr.,1643516,,120389,F/C
31065,Hannes Steinbach,1643419,,120379,F/C
31279,Thomas Sorber,1642850,,120225,C
31427,Allen Graves,1643512,,120396,F
31885,Bennett Stirtz,1642892,,120386,G
32222,Meleek Thomas,1643509,,120390,G/F
32223,Darius Acuff Jr.,1643411,,120372,G
32299,Nate Ament,1643417,,120374,F
32308,Keaton Wagler,1643413,,120371,G
32391,Kingston Flemings,1643412,,120373,G
32505,Koa Peat,1643520,,120385,F
32506,Brayden Burries,1643415,,120376,G
32530,Darryn Peterson,1643408,,120368,G
32696,Chris Cenac Jr.,1643416,,120381,F/C
32813,Ebuka Okorie,1643536,,,G
32966,Cameron Boozer,1643409,,120369,F/C
33123,Caleb Wilson,1643410,,120370,F
33166,Mikel Brown Jr.,1643414,,120375,G
33733,AJ Dybantsa,1643407,,120367,F
