ottoneu_player_id,player_name,positions,team_id,team_name,salary,roster_pct,average_salary,pro_team,fantasy_points,fantasy_points_avg,games_played,minutes,minutes_avg,points,points_avg,rebounds,rebounds_avg,assists,assists_avg,steals,steals_avg,blocks,blocks_avg,field_goal_attempts,field_goal_attempts_avg,field_goals_made,field_goals_made_avg,free_throw_attempts,free_throw_attempts_avg,free_throws_made,free_throws_made_avg,three_point_attempts,three_point_attempts_avg,three_points_made,three_points_made_avg,turnovers,turnovers_avg,fg_pct,ft_pct,three_pt_pct
510,Anthony Davis,F/C,236.0,Dangerous Nights Crew,80,100.0,76.29,DAL,21,21.0,1,37,37.0,13,13.0,8,8.0,2,2.0,1,1.0,0,0.0,13,13.0,6,6.0,2,2.0,1,1.0,1,1.0,0,0.0,3,3.0,0.4615,0.5,0.0
34,Bam Adebayo,C/F,221.0,Walter O'dim,71,100.0,64.12,MIA,35,35.0,1,33,33.0,15,15.0,14,14.0,0,0.0,2,2.0,1,1.0,14,14.0,5,5.0,4,4.0,4,4.0,2,2.0,1,1.0,1,1.0,0.3571,1.0,0.5
541,Jaylen Brown,G/F,250.0,Hunsucker Commando,70,100.0,64.76,BOS,33,33.0,1,35,35.0,29,29.0,10,10.0,4,4.0,0,0.0,0,0.0,25,25.0,11,11.0,7,7.0,6,6.0,9,9.0,1,1.0,5,5.0,0.44,0.8571,0.1111
187,Cade Cunningham,G,230.0,Rumble Kongs,65,100.0,61.94,DET,62,62.0,1,40,40.0,31,31.0,8,8.0,11,11.0,3,3.0,2,2.0,16,16.0,6,6.0,18,18.0,17,17.0,6,6.0,2,2.0,7,7.0,0.375,0.9444,0.3333
178,Kevin Durant,F,247.0,3-point Layup,56,100.0,62.0,HOU,38,38.0,1,37,37.0,22,22.0,5,5.0,11,11.0,0,0.0,0,0.0,15,15.0,8,8.0,4,4.0,4,4.0,7,7.0,2,2.0,6,6.0,0.5333,1.0,0.2857
367,James Harden,G,247.0,3-point Layup,49,100.0,44.59,LAC,29,29.0,1,29,29.0,20,20.0,3,3.0,7,7.0,0,0.0,0,0.0,14,14.0,5,5.0,11,11.0,9,9.0,6,6.0,1,1.0,1,1.0,0.3571,0.8182,0.1667
414,Joel Embiid,C/F,247.0,3-point Layup,48,100.0,41.82,PHI,37,37.0,1,36,36.0,22,22.0,4,4.0,6,6.0,0,0.0,1,1.0,18,18.0,9,9.0,5,5.0,4,4.0,3,3.0,0,0.0,2,2.0,0.5,0.8,0.0
255,Tyrese Maxey,G,216.0,Tingus Pingus,43,100.0,39.65,PHI,76,76.0,1,43,43.0,34,34.0,8,8.0,10,10.0,2,2.0,2,2.0,24,24.0,14,14.0,2,2.0,2,2.0,10,10.0,4,4.0,3,3.0,0.5833,1.0,0.4
153,Alperen Sengun,C,233.0,Air McFly,42,100.0,43.12,HOU,50,50.0,1,34,34.0,20,20.0,6,6.0,6,6.0,2,2.0,1,1.0,12,12.0,8,8.0,6,6.0,4,4.0,0,0.0,0,0.0,1,1.0,0.6667,0.6667,0.0
203,DeMar DeRozan,G/F,247.0,3-point Layup,38,100.0,34.65,SAC,48,48.0,1,35,35.0,25,25.0,5,5.0,6,6.0,1,1.0,0,0.0,16,16.0,9,9.0,6,6.0,6,6.0,3,3.0,1,1.0,0,0.0,0.5625,1.0,0.3333
30380,Cooper Flagg,F,222.0,Livin LaVida LaVine,34,100.0,34.12,DAL,28,28.0,1,37,37.0,12,12.0,7,7.0,7,7.0,1,1.0,0,0.0,15,15.0,5,5.0,2,2.0,2,2.0,2,2.0,0,0.0,2,2.0,0.3333,1.0,0.0
